endTime,artistName,trackName,msPlayed
2022-12-03 02:02,Cigarettes After Sex,Truly,30000.0
2022-12-03 02:02,Leonard Cohen,Take This Waltz - Paris Version,8210.0
2022-12-06 21:05,Vlad Holiday,So Damn Into You,37895.0
2022-12-06 21:05,Lorde,Team,8984.0
2022-12-06 21:05,Ariana Grande,Into You,1221.0
2022-12-07 00:21,Caroline Polachek,Hit Me Where It Hurts,1648.0
2022-12-07 00:21,Kaizers Orchestra,Prosessen,348.0
2022-12-07 00:21,Vlad Holiday,So Damn Into You,1555.0
2022-12-07 00:21,Vlad Holiday,So Damn Into You,1486.0
2022-12-07 00:21,Ariana Grande,Best Mistake,8824.0
2022-12-07 00:21,Pastel Ghost,Dark Beach,23518.0
2022-12-07 00:25,Caroline Polachek,Hit Me Where It Hurts,1044.0
2022-12-07 00:25,BØRNS,Clouds,3459.0
2022-12-07 00:25,Vlad Holiday,So Damn Into You,170086.0
2022-12-07 00:25,Kaizers Orchestra,Prosessen,1904.0
2022-12-07 00:25,Ariana Grande,Just A Little Bit Of Your Heart,557.0
2022-12-07 00:25,BØRNS,Seeing Stars,6145.0
2022-12-07 00:25,Ariana Grande,safety net (feat. Ty Dolla $ign),17838.0
2022-12-07 00:25,Royal Deluxe,I'm A Wanted Man,16152.0
2022-12-07 00:26,The Fratellis,She's Not Gone Yet But She's Leaving,48715.0
2022-12-07 00:26,Kaizers Orchestra,Hjerteknuser,232.0
2022-12-07 00:26,BØRNS,"10,000 Emerald Pools",743.0
2022-12-07 00:26,The Neighbourhood,Lost in Translation,1439.0
2022-12-07 00:26,Kaizers Orchestra,Hjerteknuser,371.0
2022-12-07 00:26,JAWNY,Honeypie,10578.0
2022-12-07 00:26,Sleeping With Sirens,Left Alone,13754.0
2022-12-07 00:26,Ariana Grande,shut up,15282.0
2022-12-07 00:27,The All-American Rejects,Move Along,278.0
2022-12-07 00:27,BØRNS,"10,000 Emerald Pools",325.0
2022-12-07 00:27,Franz Ferdinand,Take Me Out,789.0
2022-12-07 00:27,Franz Ferdinand,Take Me Out,39009.0
2022-12-07 00:27,Astrid S,Marilyn Monroe,394.0
2022-12-07 00:27,The Struts,Wild Child (with Tom Morello),325.0
2022-12-07 00:27,The Neighbourhood,Lost in Translation,278.0
2022-12-07 00:27,The Neighbourhood,Lost in Translation,208.0
2022-12-07 00:27,The All-American Rejects,Move Along,696.0
2022-12-07 00:27,BØRNS,"10,000 Emerald Pools",208.0
