endTime,artistName,trackName,msPlayed
2023-11-13 17:31,Lana Del Rey,Art Deco,12221.0
2023-11-13 17:32,Pavement,Harness Your Hopes - B-side,7445.0
2023-11-13 17:32,The 1975,Robbers,27434.0
2023-11-13 17:32,The Neighbourhood,Compass,2282.0
2023-11-13 17:32,Dayglow,Can I Call You Tonight?,3562.0
2023-11-13 17:32,Palaye Royale,Dying In A Hot Tub,405.0
2023-11-13 17:32,Arctic Monkeys,Teddy Picker,2602.0
2023-11-13 17:32,The Temper Trap,Sweet Disposition,41578.0
2023-11-13 17:32,Suki Waterhouse,Good Looking,22310.0
2023-11-13 17:32,Arctic Monkeys,505,14315.0
2023-11-13 17:37,The 1975,Robbers,241485.0
2023-11-13 17:37,Matthew Dear,Bad Ones (feat. Tegan and Sara),18975.0
2023-11-13 17:37,Ariana Grande,obvious,29265.0
2023-11-13 18:40,Cherry Glazerr,Wasted Nun,51780.0
2023-11-13 18:40,Ariana Grande,Knew Better / Forever Boy,18434.0
2023-11-13 18:40,The Neighbourhood,Softcore,5878.0
2023-11-13 18:40,The Vaccines,Your Love Is My Favourite Band,23062.0
2023-11-13 18:40,Lorde,Ribs,6021.0
2023-11-14 07:35,Razika,Det går ikke,34179.0
2023-11-14 07:37,The Neighbourhood,Compass,131610.0
2023-11-14 07:37,BØRNS,Clouds,7399.0
2023-11-14 07:40,Greta Van Fleet,You're The One,27980.0
2023-11-14 07:40,Cage The Elephant,The War Is Over,30464.0
2023-11-14 07:40,The 1975,Robbers,1091.0
2023-11-14 07:40,Gorillaz,She's My Collar (feat. Kali Uchis),882.0
2023-11-14 07:41,The 1975,Robbers,56169.0
2023-11-14 07:41,Joji,TEST DRIVE,10452.0
2023-11-14 08:04,The 1975,Robbers,70004.0
2023-11-14 08:04,Tame Impala,Feels Like We Only Go Backwards,1091.0
2023-11-14 08:04,The Pretty Reckless,Blame Me,12185.0
2023-11-14 08:04,Ariana Grande,Dangerous Woman,8897.0
2023-11-14 08:06,Cage The Elephant,The War Is Over,1207.0
2023-11-14 08:06,Lana Del Rey,Ride,905.0
2023-11-14 08:06,Cage The Elephant,The War Is Over,1068.0
2023-11-14 08:06,Wu-Tang Clan,"Bring Da Ruckus (feat. RZA, Ghostface Killah, Raekwon & Inspectah Deck)",4382.0
2023-11-14 08:09,Lana Del Rey,Ride,174451.0
2023-11-14 08:09,Ariana Grande,pete davidson,14535.0
2023-11-14 08:11,AURORA,Conqueror,5967.0
2023-11-14 08:13,The Neighbourhood,Sweater Weather,126386.0
2023-11-14 08:13,Ariana Grande,Be Alright,24695.0
2023-11-14 08:13,Khalid,Young Dumb & Broke,16479.0
2023-11-14 08:13,Ariana Grande,Problem,13416.0
2023-11-14 08:14,Joji,Will He,59768.0
2023-11-14 08:14,The Neighbourhood,Nervous,1091.0
2023-11-14 08:14,The Neighbourhood,Reflections,882.0
2023-11-14 08:14,Melanie Martinez,Teacher's Pet,5410.0
2023-11-14 08:14,The Neighbourhood,Ferrari,14388.0
2023-11-14 08:15,Jimi Hendrix,Castles Made of Sand,17883.0
2023-11-14 08:15,Marvin Gaye,Right On,5508.0
2023-11-14 08:17,The Neighbourhood,Reflections,113174.0
2023-11-14 08:17,The Pretty Reckless,Going to Hell,5781.0
2023-11-14 08:17,Nothing But Thieves,Amsterdam,11584.0
2023-11-14 08:18,The 1975,Love It If We Made It,510.0
2023-11-14 08:18,Arctic Monkeys,Cornerstone,441.0
2023-11-14 08:18,cleopatrick,hometown,26238.0
2023-11-14 08:18,Yumi Zouma,Barricade (Matter Of Fact),18366.0
2023-11-14 08:18,Twenty One Pilots,Jumpsuit,7476.0
2023-11-14 08:18,The 1975,Love It If We Made It,766.0
2023-11-14 08:18,Twenty One Pilots,Jumpsuit,603.0
2023-11-14 08:18,Foster The People,Pumped Up Kicks,1137.0
2023-11-14 08:18,Sports,You Are the Right One,185.0
2023-11-14 08:18,Cage The Elephant,Spiderhead - Unpeeled,232.0
2023-11-14 08:18,Yumi Zouma,Powder Blue / Cascine Park,3715.0
2023-11-14 08:18,Sports,You Are the Right One,673.0
2023-11-14 08:18,Foster The People,Pumped Up Kicks,835.0
2023-11-14 08:18,The Neighbourhood,Daddy Issues,650.0
2023-11-14 08:19,Arctic Monkeys,Cornerstone,45139.0
2023-11-14 08:19,Lomepal,Évidemment,4655.0
2023-11-14 08:19,Huey Lewis & The News,The Power Of Love,8397.0
2023-11-14 08:19,Suákata,Para Que,27859.0
2023-11-14 08:20,BØRNS,Past Lives,325.0
2023-11-14 08:20,Foo Fighters,Everlong,812.0
2023-11-14 08:20,Greta Van Fleet,Black Smoke Rising,371.0
2023-11-14 08:20,The 1975,Robbers,59373.0
2023-11-14 08:20,Cage The Elephant,Aberdeen,18188.0
2023-11-14 08:20,Ariana Grande,Santa Tell Me,7922.0
2023-11-14 08:22,The Neighbourhood,Daddy Issues,6826.0
2023-11-14 08:22,Catfish and the Bottlemen,Kathleen,603.0
2023-11-14 08:22,Arctic Monkeys,Stop The World I Wanna Get Off With You,1648.0
2023-11-14 08:22,Greta Van Fleet,Age of Machine,348.0
2023-11-14 08:22,Greta Van Fleet,Age of Machine,719.0
2023-11-14 08:22,ROLE MODEL,notice me (feat. BENEE),3366.0
2023-11-14 08:22,AURORA,Animal,766.0
2023-11-14 08:22,BØRNS,Past Lives,93622.0
2023-11-14 08:22,Cage The Elephant,Telescope,1068.0
2023-11-14 08:22,Cage The Elephant,Telescope,255.0
2023-11-14 08:22,Greta Van Fleet,Black Smoke Rising,650.0
2023-11-14 08:22,Cage The Elephant,Telescope,325.0
2023-11-14 08:22,Ariana Grande,west side,17468.0
2023-11-14 08:22,Greta Van Fleet,Light My Love,11573.0
2023-11-14 08:23,Briston Maroney,Freakin' Out On the Interstate,3691.0
2023-11-14 08:23,Gorillaz,Fire Coming out of the Monkey's Head,11377.0
2023-11-14 08:23,Arctic Monkeys,Who The Fuck Are Arctic Monkeys?,928.0
2023-11-14 08:23,Cage The Elephant,Cigarette Daydreams,8602.0
2023-11-14 08:23,Sinéad O'Connor,Nothing Compares 2 U,9096.0
2023-11-14 08:30,Ella Boh,Sleep Alone (feat. Ella Boh),182068.0
2023-11-14 08:31,Cage The Elephant,Spiderhead,70729.0
2023-11-14 08:31,Blur,Song 2 - 2012 Remaster,16802.0
2023-11-14 08:31,Fei Yu-ching,一翦梅,27042.0
2023-11-14 08:33,grandson,Darkside,70751.0
2023-11-14 08:36,Motionless In White,Du Hast,239349.0
2023-11-14 08:36,Ariana Grande,Just Look Up (From Don’t Look Up),24032.0
2023-11-14 08:36,Ariana Grande,my hair,22822.0
2023-11-14 08:36,The Vaccines,Want You So Bad,7840.0
2023-11-14 08:37,The Pretty Reckless,Make Me Wanna Die,5306.0
2023-11-14 08:40,Cage The Elephant,Always Something,221946.0
2023-11-14 08:40,AURORA,Running with the Wolves - WolfWalkers Version,4946.0
2023-11-14 08:40,Ariana Grande,pov,4453.0
2023-11-14 08:41,Current Joys,Blondie,1811.0
2023-11-14 08:41,AURORA,Conqueror,1787.0
2023-11-14 08:41,Christian Leave,Adult,11344.0
2023-11-14 08:44,Ween,Ocean Man,126946.0
2023-11-14 08:44,Tom Morello,Hold The Line (feat. grandson),39411.0
2023-11-14 08:44,Tears For Fears,Head Over Heels,20521.0
2023-11-14 08:44,Ariana Grande,sweetener,1308.0
2023-11-14 08:45,Regina Spektor,Hero,17879.0
2023-11-14 08:45,The La's,There She Goes,50085.0
2023-11-14 08:45,Frank Carter & The Rattlesnakes,Cupid's Arrow,29239.0
2023-11-14 08:46,The 1975,Robbers,49342.0
2023-11-14 08:46,The Pretty Reckless,You,673.0
2023-11-14 08:46,LosPetitFellas,Los Verbos,2252.0
2023-11-14 08:46,Aerosmith,Walk This Way,859.0
2023-11-14 08:46,Aerosmith,Walk This Way,534.0
2023-11-14 08:46,Highly Suspect,My Name Is Human,1857.0
2023-11-14 08:46,Highly Suspect,My Name Is Human,1230.0
2023-11-14 08:46,Two Feet,Until I Come Home,1346.0
2023-11-14 08:46,Tove Lo,Cool Girl,28356.0
2023-11-14 08:46,Allie Cabal,City,20484.0
2023-11-14 08:47,Ariana Grande,fake smile,22107.0
2023-11-14 08:48,Neil Young,Harvest Moon,394.0
2023-11-14 08:48,Ariana Grande,off the table (with The Weeknd),626.0
2023-11-14 08:48,Greta Van Fleet,A Change Is Gonna Come,882.0
2023-11-14 08:48,Seafret,Atlantis,208.0
2023-11-14 08:48,America,A Horse with No Name,510.0
2023-11-14 08:48,Ariana Grande,Everyday,719.0
2023-11-14 08:48,Kaizers Orchestra,Resistansen,557.0
2023-11-14 08:48,The Fratellis,She's Not Gone Yet but She's Leaving,1602.0
2023-11-14 08:48,Neil Young,Harvest Moon,812.0
2023-11-14 08:48,Led Zeppelin,When the Levee Breaks - Remaster,510.0
2023-11-14 08:48,Derek & The Dominos,Layla,325.0
2023-11-14 08:48,Rick Astley,Never Gonna Stop,325.0
2023-11-14 08:48,MF DOOM,Rapp Snitch Knishes feat. Mr. Fantastik,278.0
2023-11-14 08:48,Cannons,Loving You,673.0
2023-11-14 08:48,Ariana Grande,goodnight n go,2066.0
2023-11-14 08:48,Starship,We Built This City,510.0
2023-11-14 08:48,Alvvays,Dreams Tonite,301.0
2023-11-14 08:48,Tears For Fears,Head Over Heels / Broken,255.0
2023-11-14 08:48,Led Zeppelin,When the Levee Breaks - Remaster,6733.0
2023-11-14 08:48,Kaizers Orchestra,Hjerteknuser,1230.0
2023-11-14 08:48,Lana Del Rey,Ride,1695.0
2023-11-14 08:48,Angus & Julia Stone,Chateau,2043.0
2023-11-14 08:48,Lomepal,Évidemment,510.0
2023-11-14 08:48,Ariana Grande,everytime,1044.0
2023-11-14 08:48,TOTO,Hold the Line,208.0
2023-11-14 08:48,Leonard Cohen,Take This Waltz - Paris Version,371.0
2023-11-14 08:48,Razika,En sjanse til,88421.0
2023-11-14 08:48,Greta Van Fleet,A Change Is Gonna Come,859.0
2023-11-14 08:48,Cigarettes After Sex,Pistol,952.0
2023-11-14 08:48,Gorillaz,DARE,464.0
2023-11-14 08:48,Leonard Cohen,Take This Waltz - Paris Version,510.0
2023-11-14 08:48,CORPSE,MISA MISA!,534.0
2023-11-14 08:48,Nothing But Thieves,Amsterdam,394.0
2023-11-14 08:48,Gorillaz,DARE,510.0
2023-11-14 08:48,Cigarettes After Sex,Pistol,4109.0
2023-11-14 08:48,Nothing But Thieves,Amsterdam,348.0
2023-11-14 08:48,Lomepal,Évidemment,2043.0
2023-11-14 08:48,Gorillaz,DARE,301.0
2023-11-14 08:48,Billy Idol,Eyes Without A Face - Remastered 1999,1323.0
2023-11-14 08:48,The 1975,Love It If We Made It,673.0
2023-11-14 08:48,Joji,CAN'T GET OVER YOU (feat. Clams Casino),28399.0
2023-11-14 08:48,I DONT KNOW HOW BUT THEY FOUND ME,Absinthe,9237.0
2023-11-14 08:48,Rob Zombie,Return Of The Phantom Stranger,8697.0
2023-11-14 08:49,grandson,Darkside,1486.0
2023-11-14 08:49,The Neighbourhood,The Beach,1741.0
2023-11-14 08:49,Harry Styles,As It Was,2391.0
2023-11-14 08:49,Angus & Julia Stone,Big Jet Plane,1160.0
2023-11-14 08:49,Marvin Gaye,Wholy Holy,1486.0
2023-11-14 08:49,Prophets Of Rage,Heart Afire,673.0
2023-11-14 08:49,Jimi Hendrix,Jungle,975.0
2023-11-14 08:49,Chris Cornell,Nothing Compares 2 U - Live At SiriusXM/2015,1230.0
2023-11-14 08:49,Led Zeppelin,All My Love - Remaster,696.0
2023-11-14 08:49,4 Non Blondes,Pleasantly Blue,1184.0
2023-11-14 08:49,Red Hot Chili Peppers,Under the Bridge,1973.0
2023-11-14 08:49,Falling In Reverse,Chemical Prisoner,2275.0
2023-11-14 08:49,The Neighbourhood,R.I.P. 2 My Youth,37964.0
2023-11-14 08:49,Lil Wayne,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",580.0
2023-11-14 08:49,Lorde,Team,1927.0
2023-11-14 08:49,Ariana Grande,west side,1137.0
2023-11-14 08:49,All Time Low,A Love Like War (feat. Vic Fuentes),1184.0
2023-11-14 08:49,Lana Del Rey,Dealer,28965.0
2023-11-14 08:49,Cage The Elephant,That's Right,22986.0
2023-11-14 08:49,Alvvays,Dreams Tonite,6053.0
2023-11-14 08:50,Fleetwood Mac,Dreams - 2004 Remaster,534.0
2023-11-14 08:50,The Walters,I Love You So,952.0
2023-11-14 08:50,Karpe,Lett å være rebell i kjellerleiligheten din,998.0
2023-11-14 08:50,Seether,Save Today,2995.0
2023-11-14 08:50,Declan McKenna,Brazil,557.0
2023-11-14 08:50,Leonard Cohen,Suzanne,1996.0
2023-11-14 08:50,boy pablo,honey,1555.0
2023-11-14 08:50,Rob Zombie,Demonoid Phenomenon,18297.0
2023-11-14 08:50,Beach Weather,"Sex, Drugs, Etc.",580.0
2023-11-14 08:50,Black Lips,Bad Kids,928.0
2023-11-14 08:50,Beach Weather,"Sex, Drugs, Etc.",1160.0
2023-11-14 08:50,Jimi Hendrix,All Along the Watchtower,1091.0
2023-11-14 08:50,Public Enemy,Harder Than You Think,626.0
2023-11-14 08:50,Prophets Of Rage,Heart Afire,905.0
2023-11-14 08:50,Gorillaz,Kids with Guns,12871.0
2023-11-14 08:51,Leonard Cohen,Chelsea Hotel #2,1764.0
2023-11-14 08:51,Cage The Elephant,That's Right,1323.0
2023-11-14 08:51,New Years Day,MissUnderstood,3088.0
2023-11-14 08:51,Sade,Kiss of Life,1787.0
2023-11-14 08:51,The Pretty Reckless,Cold Blooded,1091.0
2023-11-14 08:51,Wu-Tang Clan,"Bring Da Ruckus (feat. RZA, Ghostface Killah, Raekwon & Inspectah Deck)",7079.0
2023-11-14 08:52,Cigarettes After Sex,Neon Moon,41122.0
2023-11-14 08:52,Cigarettes After Sex,Pistol,12300.0
2023-11-14 08:52,David Bowie,Changes - 2015 Remaster,14942.0
2023-11-14 08:52,Ariana Grande,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),28859.0
2023-11-14 08:56,Cigarettes After Sex,Neon Moon,348.0
2023-11-14 08:56,The Pretty Reckless,The Devil's Back,14456.0
2023-11-14 08:56,Ariana Grande,Baby I,9986.0
2023-11-14 08:58,Lana Del Rey,Ride,394.0
2023-11-14 08:58,Ariana Grande,Let Me Love You,626.0
2023-11-14 08:58,Harry Styles,Adore You,812.0
2023-11-14 08:58,Harry Styles,Adore You,278.0
2023-11-14 08:58,Harry Styles,Adore You,301.0
2023-11-14 08:58,Yumi Zouma,Yesterday,145124.0
2023-11-14 08:58,Ariana Grande,Best Mistake,19279.0
2023-11-14 08:59,Led Zeppelin,Misty Mountain Hop - Remaster,77902.0
2023-11-14 08:59,Tame Impala,Borderline,3784.0
2023-11-14 08:59,Ariana Grande,Santa Tell Me,24479.0
2023-11-14 09:02,The Neighbourhood,Reflections,650.0
2023-11-14 09:02,The 1975,Robbers,133955.0
