,Acoustic Firmness Index,Atmospheric Pressure at Harvest (Pa),Bitterness Scale,Circumference (mm),Color Intensity (a.u.),Find Distance from Main Vulcano (km),Length (mm),Luminescence Intensity (a.u.),Magnetic orientation (degree),Odor index (a.u.),Seed Count,Skin Thickness (mm),Soil pH where Grown,Sugar Content (mg),Weight (mg),pH,Edible
0,28.7,98741.0,0.0,222.8979848033584,70.28,103.14521219386273,35.481122701334755,0.0026358990755937545,61.87740749399792,2.700236242968261,71.35571331214851,2.5,8.14,13792.0,87411.18259989924,5.09,1.0
1,19.4,96077.0,0.0,205.8323860811713,66.48,102.0056242818022,32.60901270752039,0.015950086020029456,297.1919979477654,9.618586221244552,46.291492945240265,2.0,7.63,12985.0,72608.18259989924,4.99,1.0
2,22.1,109154.0,2.0,234.40657616766586,69.92,37.847317499651595,37.92605736539349,0.00027920892083530517,61.103057343789295,7.9700504095142115,54.442384864791265,1.5,8.03,10008.0,109375.18259989924,5.219156317984997,0.0
3,28.0,105277.0,5.0,214.9996229905856,64.05,100.11839905600135,34.61053917080762,0.0023233768686782823,58.67704709550381,68.11645017976048,106.40187964928909,4.5,7.43,11303.0,84958.78259989925,3.228828292705844,0.0
4,22.6,103898.0,2.0,180.54262617524574,53.63,63.5904379141777,28.948902222549375,0.00861143188402038,317.2611900859416,7.953544222308162,48.05775425868072,5.0,6.71,11475.0,49717.18259989924,4.8,1.0
5,24.3,106580.0,0.0,179.9195634105224,59.18,24.686984314188177,27.998243811735875,0.0016289731616074045,92.19279388798172,19.67138667279683,34.59492164221632,3.5,7.83,13257.0,47616.18259989924,4.78,1.0
6,17.5,108392.0,5.0,183.7315974402964,61.56,64.36894210072869,28.667719189105483,0.0014661422679244362,252.22997634687192,17.088911301431597,0.8058073374424772,3.5,6.79,12537.0,38826.18259989925,4.8,0.0
7,14.7,108572.0,1.0,164.66582401545935,59.87,79.76081034216594,26.786768752487557,0.0002994361301130318,201.2630464285495,21.19268916663421,0.0,3.5,7.4,12680.0,34136.18259989925,4.88,1.0
8,9.2,103826.0,0.0,256.58000096333427,73.9,7.20686418477892,40.69504392590249,0.0027610163877562445,281.62783644088864,63.8971169435494,2.802857570533593,4.0,7.98,12464.0,131056.78259989926,4.857326056427496,0.0
9,18.6,98441.0,,193.74218487310293,56.51,45.0074832564136,30.46030083594056,0.007231114812621465,260.5404889741031,6.283100037810993,9.934014035019992,4.5,6.88,11982.0,49288.18259989924,4.88,1.0
10,32.4,106886.0,1.0,224.63914822450644,62.78,13.7617256980389,35.982019381274576,0.0004627641281900385,269.76221977289623,4.852375540384102,1.2697350580005136,4.5,7.5,12168.0,90487.18259989924,5.627047998668841,0.0
11,27.2,107968.0,0.0,182.35594422612147,72.99,16.54090034903868,28.611586097255685,0.0001311926043819901,238.34043889354592,5.525630729466579,62.760565336433785,4.5,7.99,16986.0,49633.18259989924,5.1,1.0
12,25.8,95439.0,2.0,225.75164574416738,56.63,53.80213719539737,35.290813366370664,0.0005368660013625745,105.76937307200855,13.836647857786257,42.69588880761135,5.0,6.92,15619.0,82352.18259989924,5.0,1.0
13,15.6,99721.0,7.0,243.21366640518883,65.4,84.0960297700408,38.56978981750857,0.006503661810522764,210.29278567313125,42.22085929163139,101.80879231496372,4.5,7.15,14603.0,112291.18259989924,5.806159989876651,0.0
14,22.6,98208.0,4.0,256.0052193506602,63.53,58.83252774141263,39.67440227433724,0.001345021959939462,322.4550433806399,22.537252022805138,44.71279364884762,5.5,7.6,10737.0,123874.06259989922,3.805120741512912,0.0
15,15.6,102719.0,4.0,207.85610625207642,66.95,40.73357907878113,33.02305863139448,0.004842324939200501,39.42341345171298,13.960440797625816,59.563856508907605,5.5,7.67,11431.0,64210.78259989925,3.433575418312971,0.0
