index,Scoville Heat Units (SHU)
0,0
1,135241
2,0
3,0
4,175621
5,121443
6,117786
7,61350
8,157798
9,0
10,0
11,0
12,138008
13,0
14,115700
15,145685
16,187442
17,153612
18,199384
19,0
20,124638
21,0
22,0
23,0
24,168565
25,108787
26,0
27,0
28,0
29,131344
30,97931
31,0
32,122007
33,72648
34,153685
35,0
36,0
37,0
38,0
39,132425
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,101668
48,0
49,0
50,0
51,0
52,0
53,0
54,69478
55,169712
56,0
57,161234
58,77678
59,115038
60,131790
61,0
62,135920
63,0
64,201912
65,84751
66,0
67,0
68,0
69,206549
70,0
71,28938
72,118937
73,0
74,0
75,0
76,88679
77,0
78,84285
79,0
80,119588
81,121101
82,60188
83,0
84,0
85,0
86,0
87,134059
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,103419
96,0
97,0
98,0
99,0
100,0
101,130035
102,0
103,0
104,0
105,0
106,0
107,54343
108,0
109,94564
110,0
111,104643
112,0
113,67137
114,98100
115,146716
116,0
117,0
118,0
119,145027
120,0
121,0
122,0
123,0
124,0
125,99896
126,0
127,119092
128,78001
129,96556
130,89308
131,101233
132,0
133,90562
134,123711
135,116500
136,0
137,49012
138,124604
139,104791
140,0
141,0
142,131529
143,104976
144,0
145,0
146,0
147,101995
148,0
149,213905
150,0
151,0
152,134970
153,0
154,0
155,79712
156,76999
157,0
158,0
159,0
160,0
161,87112
162,0
163,100408
164,0
165,0
166,0
167,0
168,88340
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,110141
178,0
179,0
180,0
181,127441
182,109790
183,122642
184,197249
185,0
186,0
187,131754
188,106907
189,113440
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,162377
198,181615
199,111079
200,0
201,0
202,0
203,0
204,192172
205,0
206,0
207,0
208,0
209,0
210,0
211,87564
212,0
213,0
214,137389
215,0
216,122860
217,101779
218,0
219,150502
220,0
221,0
222,0
223,0
224,111186
225,139530
226,0
227,0
228,0
229,123135
230,0
231,0
232,0
233,141685
234,124700
235,59475
236,116373
237,137321
238,156054
239,130763
240,0
241,187448
242,0
243,0
244,0
245,101305
246,0
247,95627
248,93753
249,0
250,0
251,0
252,46245
253,0
254,0
255,93793
256,0
257,0
258,0
259,128343
260,109793
261,0
262,0
263,0
264,118607
265,0
266,75353
267,0
268,0
269,258222
270,0
271,0
272,0
273,139557
274,84530
275,57114
276,0
277,61090
278,0
279,0
280,0
281,140260
282,92262
283,0
284,93283
285,0
286,0
287,0
288,0
289,126619
290,94929
291,147111
292,187758
293,0
294,86022
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,160247
303,147627
304,116263
305,0
306,0
307,202455
308,0
309,219107
310,0
311,0
312,92302
313,158600
314,0
315,0
316,52020
317,0
318,154328
319,0
320,124850
321,0
322,174363
323,0
324,0
325,125434
326,117388
327,0
328,0
329,0
330,0
331,0
332,68219
333,0
334,0
335,0
336,110908
337,0
338,84441
339,105104
340,0
341,119174
342,132521
343,97129
344,107419
345,0
346,0
347,0
348,106024
349,0
350,175240
351,128958
352,60240
353,0
354,88777
355,84514
356,0
357,0
358,0
359,115893
360,60243
361,102025
362,0
363,140663
364,128718
365,149388
366,171836
367,0
368,74666
369,113508
370,0
371,110592
372,122688
373,0
374,121142
375,183197
376,0
377,72738
378,158082
379,0
380,0
381,0
382,0
383,0
384,102039
385,0
386,0
387,0
388,0
389,0
390,0
391,70100
392,0
393,144670
394,165881
395,142370
396,138221
397,0
398,114515
399,0
400,104685
401,138618
402,97116
403,0
404,0
405,109964
406,0
407,0
408,0
409,215974
410,142685
411,0
412,101137
413,0
414,0
415,0
416,69343
417,0
418,167386
419,0
420,0
421,121341
422,0
423,0
424,0
425,146994
426,0
427,0
428,25390
429,0
430,0
431,0
432,0
433,105892
434,0
435,98693
436,68047
437,72509
438,0
439,111731
440,70222
441,188685
442,100175
443,0
444,127783
445,90977
446,0
447,0
448,20812
449,147833
450,0
451,105250
452,150573
453,100690
454,44365
455,0
456,0
457,0
458,141836
459,0
460,0
461,0
462,0
463,165995
464,0
465,0
466,0
467,55670
468,0
469,0
470,102376
471,0
472,59213
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,155606
483,0
484,0
485,100499
486,176801
487,156008
488,0
489,0
490,150834
491,0
492,169649
493,0
494,116352
495,0
496,0
497,105026
498,120057
499,0
500,99984
501,117059
502,92672
503,0
504,0
505,0
506,0
507,0
508,167749
509,0
510,0
511,83195
512,0
513,0
514,166284
515,0
516,0
517,0
518,0
519,0
520,112052
521,34795
522,142242
523,157342
524,56640
525,94616
526,0
527,109680
528,0
529,0
530,73814
531,0
532,0
533,124181
534,0
535,183076
536,0
537,0
538,78250
539,0
540,0
541,0
542,109103
543,0
544,0
545,122634
546,0
547,122196
548,0
549,0
550,0
551,88062
552,0
553,0
554,0
555,0
556,142847
557,0
558,0
559,0
560,0
561,171242
562,0
563,113359
564,111698
565,0
566,119715
567,0
568,105143
569,0
570,121413
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,108818
579,0
580,0
581,0
582,0
583,90761
584,85396
585,88994
586,0
587,0
588,123765
589,0
590,102861
591,131930
592,65006
593,144975
594,0
595,81063
596,0
597,0
598,0
599,171440
600,0
601,0
602,0
603,69380
604,168060
605,147170
606,0
607,124146
608,0
609,107722
610,0
611,118664
612,149151
613,0
614,150033
615,124981
616,77040
617,0
618,129805
619,124692
620,0
621,0
622,0
623,156141
624,0
625,131367
626,115643
627,86594
628,0
629,0
630,0
631,0
632,127576
633,0
634,0
635,0
636,101944
637,143403
638,0
639,0
640,91384
641,0
642,0
643,0
644,108985
645,0
646,78942
647,0
648,71885
649,0
650,141354
651,0
652,0
653,63763
654,69859
655,0
656,0
657,88502
658,0
659,0
660,121644
661,0
662,0
663,0
664,0
665,0
666,0
667,101780
668,145384
669,128246
670,0
671,101943
672,110908
673,0
674,0
675,0
676,89417
677,120295
678,120153
679,67667
680,0
681,0
682,0
683,100405
684,40881
685,98361
686,121219
687,114559
688,0
689,0
690,79655
691,124699
692,0
693,0
694,0
695,0
696,0
697,0
698,81482
699,0
700,0
701,0
702,97927
703,184961
704,73861
705,145429
706,0
707,0
708,135982
709,0
710,0
711,0
712,94561
713,0
714,125089
715,0
716,134035
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,111754
726,0
727,115581
728,108441
729,152154
730,0
731,0
732,0
733,157300
734,94034
735,0
736,0
737,0
738,89661
739,0
740,0
741,0
742,0
743,0
744,137637
745,0
746,161764
747,107650
748,0
749,0
750,97020
751,0
752,157006
753,0
754,0
755,86127
756,154534
757,0
758,0
759,0
760,0
761,151016
762,0
763,0
764,0
765,0
766,106690
767,128027
768,0
769,98087
770,84713
771,0
772,0
773,0
774,0
775,0
776,99764
777,0
778,98060
779,0
780,0
781,130636
782,126850
783,0
784,0
785,114981
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,151422
794,113312
795,136350
796,0
797,86193
798,60027
799,0
